ID,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Directors,Runtime,Rotten_Tomatoes_Rounded,IMDB_Rounded,AgeRestriction,Genres_Fantasy,Genres_Sci-Fi,Genres_Mystery,Genres_Family,Genres_Adventure,Genres_Crime,Genres_Horror,Genres_Romance,Genres_Documentary,Genres_Action,Genres_Thriller,Genres_Comedy,Genres_Drama,Genres_Others,Continent_Africa,Continent_Antarctica,Continent_Asia,Continent_Europe,Continent_North America,Continent_Oceania,Continent_South America,Continent_NA,Language_NA,Language_Hindi,Language_French,Language_Spanish,Language_English,Language_Others,Era
6452,7 Chinese Brothers,2015,NA,5.6,77%,0,0,1,0,0,Bob Byington,76.0,Good,Average,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Latest
6453,Hearing Is Believing,2017,all,8.7,60%,0,0,1,0,0,Lorenzo DeStefano,104.0,Average,Really_Good,Non-Adult,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
6454,Passion,2012,18+,5.3,34%,0,0,1,0,0,Mel Gibson,127.0,Really_Bad,Average,Adult,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Latest
6455,The Demons,2015,NA,6.7,86%,0,0,1,0,0,Jesús Franco,118.0,Really_Good,Good,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Latest
6456,Biswa Kalyan Rath : Biswa Mast Aadmi,2017,NA,8.4,NA,0,0,1,0,0,Siddharth Vasani,75.0,NA,Really_Good,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,Latest
6457,Only Old Men Are Going to Battle,1973,all,8.4,NA,0,0,1,0,0,Leonid Bykov,92.0,NA,Really_Good,Non-Adult,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Golden
6458,F/X2,1991,13+,5.9,38%,0,0,1,0,0,Richard Franklin,108.0,Really_Bad,Average,Teen,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Modern
6459,The Yellow Birds,2017,18+,5.7,45%,0,0,1,0,0,Alexandre Moors,94.0,Bad,Average,Adult,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
6460,Angelica,2017,NA,4.9,73%,0,0,1,0,0,Mitchell Lichtenstein,95.0,Good,Bad,NA,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,Latest
6461,Torn,2013,NA,5.9,90%,0,0,1,0,0,NA,-1.0,Really_Good,Average,NA,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Latest
